SportsRefTeamName,FantasyDataTeamName
Hawaii,HAWAII
Mississippi State,MSPST
Western Kentucky,WKENT
Mississippi State,MSPST
New Mexico State,NMXST
Nevada,NEVADA
Western Kentucky,WKENT
Virginia,VIR
Miami (FL),MIA
Virginia,VIR
Mississippi State,MSPST
North Carolina State,NCST
Western Kentucky,WKENT
Mississippi State,MSPST
New Mexico State,NMXST
Memphis,MPHS
Mississippi State,MSPST
Northern Illinois,NILL
Maryland,MARY
Eastern Michigan,EMICH
Mississippi State,MSPST
Pittsburgh,PITT
Miami (OH),MIAOH
Troy,TROY
Mississippi State,MSPST
Ohio State,OHIOST
Tulsa,TULSA
Virginia,VIR
Western Kentucky,WKENT
Nevada,NEVADA
New Mexico State,NMXST
Ohio State,OHIOST
Nevada,NEVADA
Purdue,PUR
Southern Methodist,SMU
Fresno State,FREST
Indiana,IND
Southern California,USC
Memphis,MPHS
Purdue,PUR
Indiana,IND
Penn State,PENNST
Purdue,PUR
Washington,WASH
North Texas,NTX
Missouri,MISSR
Wake Forest,WAKE
Alabama,ALA
Miami (OH),MIAOH
Buffalo,BUF
San Jose State,SJST
Fresno State,FREST
Western Kentucky,WKENT
Arkansas State,ARKST
Rice,RICE
Mississippi State,MSPST
North Carolina State,NCST
Hawaii,HAWAII
Southern California,USC
Tulane,TULANE
Troy,TROY
Temple,TEMPL
Western Kentucky,WKENT
Nevada,NEVADA
Kentucky,UK
Western Kentucky,WKENT
Middle Tennessee State,MTNST
Virginia,VIR
Miami (FL),MIA
Ohio State,OHIOST
Florida Atlantic,FLATL
Southern Methodist,SMU
East Carolina,ECAR
Alabama,ALA
Eastern Michigan,EMICH
Memphis,MPHS
Mississippi State,MSPST
Maryland,MARY
Nevada,NEVADA
Arkansas State,ARKST
Colorado State,COLST
Western Kentucky,WKENT
Georgia,GA
Mississippi State,MSPST
Marshall,MARSH
New Mexico State,NMXST
Marshall,MARSH
Boise State,BOISE
Texas State,TXST
Penn State,PENNST
Miami (FL),MIA
Wake Forest,WAKE
Southern California,USC
South Alabama,SALA
Southern California,USC
Washington State,WASHST
Texas-El Paso,UTEP
West Virginia,WVIR
East Carolina,ECAR
Virginia,VIR